architecture,regime,seed,dataset,alpha_train,alpha_test,acc,loss
mlp_large,clean,0,cifar10,0.5,0.01,0.50532,1.3954088767242432
mlp_large,clean,0,cifar10,0.5,0.02,0.50556,1.395321236114502
mlp_large,clean,0,cifar10,0.5,0.05,0.50564,1.39554042263031
mlp_large,clean,0,cifar10,0.5,0.1,0.50466,1.395462418861389
mlp_large,clean,0,cifar10,0.5,0.2,0.5013,1.403795221977234
mlp_large,clean,1,cifar10,0.5,0.0,0.5149,1.3730333881378174
mlp_large,clean,1,cifar10,0.5,0.01,0.51496,1.373113197746277
mlp_large,clean,1,cifar10,0.5,0.02,0.515,1.3728400619506835
mlp_large,clean,1,cifar10,0.5,0.05,0.51434,1.37453766582489
mlp_large,clean,1,cifar10,0.5,0.1,0.51472,1.3764337063217162
mlp_large,clean,1,cifar10,0.5,0.2,0.50968,1.381622229423523
mlp_large,clean,2,cifar10,0.5,0.0,0.5147,1.374800345993042
mlp_large,clean,2,cifar10,0.5,0.01,0.51454,1.3750091641616822
mlp_large,clean,2,cifar10,0.5,0.02,0.51454,1.375120613670349
mlp_large,clean,2,cifar10,0.5,0.05,0.5145,1.374084966087341
mlp_large,clean,2,cifar10,0.5,0.1,0.5135,1.3755406963729857
mlp_large,clean,2,cifar10,0.5,0.2,0.50838,1.3842741216278076
mlp_large,noisy,0,cifar10,0.5,0.0,0.4919,1.4384306667327882
mlp_large,noisy,0,cifar10,0.5,0.01,0.49227999999999994,1.438418196029663
mlp_large,noisy,0,cifar10,0.5,0.02,0.49252,1.4381332331848145
mlp_large,noisy,0,cifar10,0.5,0.05,0.49256,1.4386036100387574
mlp_large,noisy,0,cifar10,0.5,0.1,0.49234,1.4389320598602295
mlp_large,noisy,0,cifar10,0.5,0.2,0.48904,1.4433165168380737
mlp_large,noisy,1,cifar10,0.5,0.0,0.4887,1.4344467470169067
mlp_large,noisy,1,cifar10,0.5,0.01,0.48852,1.4344363719558717
mlp_large,noisy,1,cifar10,0.5,0.02,0.48864,1.434438319015503
mlp_large,noisy,1,cifar10,0.5,0.05,0.48958,1.435081477279663
mlp_large,noisy,1,cifar10,0.5,0.1,0.48876,1.4362888164520264
mlp_large,noisy,1,cifar10,0.5,0.2,0.48794000000000004,1.4410852388000488
mlp_large,noisy,2,cifar10,0.5,0.0,0.496,1.4225113586425782
mlp_large,noisy,2,cifar10,0.5,0.01,0.4957,1.422542922706604
mlp_large,noisy,2,cifar10,0.5,0.02,0.49598,1.422427358856201
mlp_large,noisy,2,cifar10,0.5,0.05,0.49616,1.4230445500183104
mlp_large,noisy,2,cifar10,0.5,0.1,0.49604,1.4223327999114992
